Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
21295,89.826607,3.388950,3.025500,3.208093,0.363450,3.384750,3.385950,3.387000,3.387150,3.385050,3.385650,3.386400,3.384600,3.386700,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031800,3.035250,3.029400,3.028350,3.027150,3.027750,3.027000,3.025500,3.031050,3.028050,3.026250,24.658777,23.644648,24.029230,24.102045,24.189539,23.798700,23.942591,23.644648,23.808954,24.117487,24.004297,24.380182,24.658777,23.896326,23.891169,23.901453,23.855188,24.297693,23.978571,0,0,0,0,0,0
21796,89.827202,3.388950,3.025500,3.208114,0.363450,3.384750,3.385800,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031800,3.035250,3.029550,3.028350,3.027300,3.027750,3.027000,3.025500,3.031050,3.028050,3.026250,24.658777,23.644648,24.029551,24.107172,24.189539,23.798700,23.942591,23.644648,23.808954,24.117487,24.004297,24.380182,24.658777,23.896326,23.891169,23.901453,23.855188,24.297693,23.978571,0,0,0,0,0,0
22297,89.826607,3.388950,3.025500,3.208093,0.363450,3.384750,3.385800,3.387000,3.387300,3.385050,3.385650,3.386400,3.384600,3.386700,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032550,3.031800,3.035250,3.029400,3.028350,3.027150,3.027750,3.027000,3.025500,3.031050,3.028050,3.026250,24.658777,23.644648,24.030512,24.107172,24.184381,23.798700,23.947718,23.644648,23.808954,24.122614,24.004297,24.385309,24.658777,23.896326,23.891169,23.901453,23.855188,24.297693,23.983728,0,0,0,0,0,0
22798,89.826614,3.388950,3.025350,3.208093,0.363600,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386400,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032400,3.031800,3.035250,3.029400,3.028350,3.027150,3.027750,3.027000,3.025350,3.031050,3.028050,3.026250,24.658777,23.644648,24.030191,24.102045,24.184381,23.798700,23.942591,23.644648,23.808954,24.122614,24.004297,24.385309,24.658777,23.901453,23.891169,23.901453,23.860346,24.297693,23.978571,0,0,0,0,0,0
23299,89.826462,3.388950,3.025350,3.208088,0.363600,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030150,3.032400,3.031800,3.035250,3.029400,3.028350,3.027150,3.027750,3.026850,3.025350,3.031050,3.028050,3.026250,24.658777,23.644648,24.029871,24.102045,24.189539,23.798700,23.942591,23.644648,23.808954,24.117487,24.004297,24.385309,24.658777,23.901453,23.891169,23.901453,23.855188,24.297693,23.978571,0,0,0,0,0,0
23800,89.826912,3.388950,3.025350,3.208104,0.363600,3.384750,3.385950,3.387000,3.387300,3.385200,3.385650,3.386550,3.384600,3.386700,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032400,3.031800,3.035250,3.029550,3.028350,3.027150,3.027750,3.027000,3.025350,3.031050,3.028050,3.026250,24.658777,23.644648,24.030512,24.107172,24.189539,23.798700,23.942591,23.644648,23.808954,24.122614,24.004297,24.385309,24.658777,23.901453,23.891169,23.901453,23.855188,24.297693,23.978571,0,0,0,0,0,0
24301,89.826759,3.388950,3.025500,3.208099,0.363450,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386400,3.384600,3.386850,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032400,3.031800,3.035250,3.029400,3.028350,3.027150,3.027750,3.027000,3.025500,3.031050,3.028050,3.026250,24.658777,23.649775,24.030834,24.107172,24.189539,23.798700,23.942591,23.649775,23.808954,24.122614,24.004297,24.380182,24.658777,23.901453,23.896326,23.901453,23.855188,24.297693,23.978571,0,0,0,0,0,0
24802,89.826614,3.388950,3.025350,3.208093,0.363600,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386700,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030150,3.032550,3.031800,3.035250,3.029400,3.028350,3.027150,3.027750,3.027000,3.025350,3.031050,3.028050,3.026250,24.658777,23.644648,24.030834,24.107172,24.189539,23.798700,23.942591,23.644648,23.808954,24.122614,24.004297,24.385309,24.658777,23.901453,23.896326,23.901453,23.855188,24.297693,23.978571,0,0,0,0,0,0
25303,89.826759,3.388950,3.025350,3.208099,0.363600,3.384750,3.385950,3.387000,3.387300,3.385050,3.385650,3.386550,3.384600,3.386850,3.387300,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032400,3.031800,3.035250,3.029550,3.028350,3.027150,3.027750,3.027000,3.025350,3.031050,3.028050,3.026250,24.658777,23.644648,24.030834,24.102045,24.189539,23.798700,23.947718,23.644648,23.808954,24.122614,24.004297,24.385309,24.658777,23.901453,23.896326,23.901453,23.855188,24.297693,23.978571,0,0,0,0,0,0
25804,89.826149,3.388950,3.025500,3.208077,0.363450,3.384600,3.385950,3.387000,3.387300,3.385050,3.385650,3.386400,3.384600,3.386700,3.387450,3.388800,3.387750,3.388650,3.388950,3.031350,3.030300,3.032400,3.031800,3.035250,3.029400,3.028200,3.027150,3.027750,3.027000,3.025500,3.030900,3.028050,3.026250,24.653620,23.644648,24.030190,24.107172,24.189539,23.798700,23.942591,23.644648,23.808954,24.122614,24.004297,24.385309,24.653620,23.901453,23.891169,23.901453,23.855188,24.297693,23.978571,0,0,0,0,0,0
