Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
8127,94.825195,3.392700,3.381300,3.386614,0.011400,3.384000,3.385350,3.386100,3.386100,3.383400,3.384150,3.386850,3.381300,3.384600,3.387000,3.389550,3.385200,3.387750,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386700,3.384900,3.384300,3.385500,3.389700,3.385500,22.121424,21.358850,21.673855,21.617823,21.719477,21.490839,21.622919,21.440058,21.460382,22.070490,21.872034,21.699152,22.121424,21.358850,21.495935,21.501001,21.506067,22.024683,21.780481,0,0,0,0,0,0
8628,94.824142,3.392700,3.381150,3.386576,0.011550,3.384000,3.385200,3.386100,3.385950,3.383250,3.384000,3.386850,3.381150,3.384600,3.387000,3.389400,3.385200,3.387750,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386400,3.386700,3.384900,3.384300,3.385500,3.389700,3.385500,22.121424,21.358850,21.674171,21.617823,21.719477,21.490839,21.622919,21.440058,21.460382,22.065393,21.872034,21.699152,22.121424,21.358850,21.501001,21.501001,21.506067,22.029779,21.780481,0,0,0,0,0,0
9129,94.823845,3.392700,3.381150,3.386566,0.011550,3.384000,3.385350,3.386100,3.385950,3.383250,3.384000,3.386700,3.381150,3.384600,3.387000,3.389400,3.385200,3.387600,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386700,3.384750,3.384300,3.385500,3.389550,3.385500,22.121424,21.358850,21.674807,21.617823,21.719477,21.490839,21.627985,21.440058,21.460382,22.070490,21.872034,21.699152,22.121424,21.358850,21.501001,21.501001,21.511164,22.024683,21.780481,0,0,0,0,0,0
9630,94.823845,3.392700,3.381150,3.386566,0.011550,3.384000,3.385200,3.386100,3.385950,3.383250,3.384000,3.386700,3.381150,3.384600,3.387000,3.389400,3.385200,3.387750,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386700,3.384900,3.384150,3.385500,3.389550,3.385500,22.121424,21.358850,21.674171,21.617823,21.719477,21.490839,21.622919,21.440058,21.460382,22.065393,21.872034,21.699152,22.121424,21.358850,21.501001,21.501001,21.506067,22.029779,21.780481,0,0,0,0,0,0
10255,94.824593,3.392700,3.381300,3.386593,0.011400,3.384000,3.385350,3.386100,3.386100,3.383250,3.384000,3.386850,3.381300,3.384600,3.387000,3.389550,3.385200,3.387600,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386700,3.384750,3.384300,3.385500,3.389700,3.385500,22.121424,21.358850,21.674807,21.617823,21.719477,21.490839,21.627985,21.440058,21.460382,22.070490,21.872034,21.699152,22.121424,21.358850,21.501001,21.501001,21.506067,22.029779,21.780481,0,0,0,0,0,0
10756,94.824150,3.392700,3.381150,3.386577,0.011550,3.384000,3.385200,3.386100,3.385950,3.383250,3.384000,3.386700,3.381150,3.384600,3.387000,3.389550,3.385200,3.387600,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386700,3.384900,3.384300,3.385500,3.389700,3.385500,22.121424,21.363916,21.675123,21.617823,21.719477,21.490839,21.627985,21.440058,21.460382,22.070490,21.872034,21.699152,22.121424,21.363916,21.501001,21.501001,21.511164,22.024683,21.780481,0,0,0,0,0,0
11257,94.824150,3.392700,3.381150,3.386577,0.011550,3.384000,3.385350,3.386100,3.385950,3.383250,3.384000,3.386850,3.381150,3.384600,3.387000,3.389400,3.385200,3.387600,3.390150,3.390600,3.387300,3.391650,3.386250,3.392700,3.387450,3.384600,3.386550,3.386700,3.384900,3.384150,3.385500,3.389700,3.385500,22.121424,21.358850,21.675125,21.617823,21.719477,21.490839,21.627985,21.440058,21.460382,22.070490,21.872034,21.699152,22.121424,21.358850,21.501001,21.501001,21.511164,22.029779,21.780481,0,0,0,0,0,0
11758,94.823845,3.392700,3.381300,3.386566,0.011400,3.384000,3.385200,3.386100,3.385950,3.383250,3.384000,3.386850,3.381300,3.384600,3.387000,3.389400,3.385350,3.387600,3.390150,3.390600,3.387300,3.391650,3.386100,3.392700,3.387450,3.384600,3.386400,3.386700,3.384900,3.384150,3.385500,3.389550,3.385500,22.121424,21.363916,21.675760,21.617823,21.719477,21.495935,21.627985,21.440058,21.460382,22.070490,21.872034,21.699152,22.121424,21.363916,21.501001,21.501001,21.511164,22.029779,21.780481,0,0,0,0,0,0
12259,94.823853,3.392550,3.381300,3.386566,0.011250,3.384000,3.385200,3.386100,3.385950,3.383400,3.384000,3.386700,3.381300,3.384600,3.387000,3.389400,3.385200,3.387600,3.390150,3.390600,3.387300,3.391650,3.386250,3.392550,3.387450,3.384600,3.386550,3.386700,3.384900,3.384150,3.385500,3.389550,3.385500,22.121424,21.358850,21.675125,21.617823,21.719477,21.490839,21.627985,21.440058,21.460382,22.070490,21.877131,21.699152,22.121424,21.358850,21.501001,21.501001,21.506067,22.029779,21.780481,0,0,0,0,0,0
12760,94.823700,3.392700,3.381300,3.386561,0.011400,3.384000,3.385350,3.386100,3.386100,3.383250,3.384000,3.386850,3.381300,3.384600,3.386850,3.389400,3.385200,3.387600,3.390150,3.390600,3.387300,3.391650,3.386100,3.392700,3.387300,3.384600,3.386400,3.386700,3.384900,3.384150,3.385350,3.389700,3.385500,22.126520,21.363916,21.676714,21.617823,21.719477,21.495935,21.627985,21.440058,21.460382,22.070490,21.877131,21.704218,22.126520,21.363916,21.501001,21.501001,21.511164,22.029779,21.780481,0,0,0,0,0,0
