Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
15151,42.194851,3.018300,3.009900,3.013918,0.008400,3.012600,3.011850,3.011850,3.014250,3.009900,3.013800,3.015300,3.011550,3.016650,3.013800,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.279322,20.234339,21.529182,21.516230,20.234339,22.279322,21.617823,22.136683,22.151972,20.785913,21.511164,,,,,,,,,0,0,0,0,0,0
15652,42.194851,3.018300,3.010050,3.013918,0.008250,3.012450,3.011850,3.011850,3.014100,3.010050,3.013950,3.015300,3.011550,3.016650,3.013800,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.279322,20.234339,21.528549,21.516230,20.234339,22.279322,21.617823,22.136683,22.151972,20.780848,21.511164,,,,,,,,,0,0,0,0,0,0
16153,42.194546,3.018300,3.009900,3.013896,0.008400,3.012450,3.011850,3.011850,3.014100,3.009900,3.013800,3.015300,3.011550,3.016650,3.013800,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.279322,20.234339,21.528545,21.516230,20.234339,22.279322,21.617823,22.136683,22.151972,20.785913,21.506067,,,,,,,,,0,0,0,0,0,0
16654,42.194546,3.018300,3.010050,3.013896,0.008250,3.012450,3.011850,3.011850,3.014100,3.010050,3.013800,3.015150,3.011550,3.016650,3.013800,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.279322,20.224237,21.526649,21.516230,20.224237,22.279322,21.617823,22.136683,22.151972,20.780848,21.506067,,,,,,,,,0,0,0,0,0,0
17155,42.194546,3.018300,3.010050,3.013896,0.008250,3.012450,3.011850,3.011850,3.014250,3.010050,3.013800,3.015300,3.011550,3.016650,3.013650,3.017850,3.011850,3.015150,3.018300,,,,,,,,,,,,,,,22.279322,20.224237,21.526012,21.516230,20.224237,22.279322,21.617823,22.131586,22.151972,20.780848,21.506067,,,,,,,,,0,0,0,0,0,0
17656,42.194698,3.018300,3.010050,3.013907,0.008250,3.012450,3.011850,3.011850,3.014100,3.010050,3.013800,3.015150,3.011700,3.016650,3.013800,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.279322,20.224237,21.527287,21.516230,20.224237,22.279322,21.617823,22.136683,22.151972,20.780848,21.511164,,,,,,,,,0,0,0,0,0,0
18157,42.194851,3.018300,3.010050,3.013918,0.008250,3.012600,3.011850,3.011850,3.014100,3.010050,3.013950,3.015300,3.011550,3.016650,3.013650,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.274225,20.229303,21.525375,21.511164,20.229303,22.274225,21.617823,22.131586,22.151972,20.780848,21.506067,,,,,,,,,0,0,0,0,0,0
18658,42.194252,3.018150,3.009900,3.013875,0.008250,3.012450,3.011850,3.011850,3.014100,3.009900,3.013800,3.015300,3.011550,3.016650,3.013650,3.017850,3.012000,3.015150,3.018150,,,,,,,,,,,,,,,22.274225,20.229303,21.525375,21.511164,20.229303,22.274225,21.617823,22.131586,22.151972,20.780848,21.506067,,,,,,,,,0,0,0,0,0,0
19159,42.194397,3.018150,3.009900,3.013885,0.008250,3.012450,3.011850,3.011850,3.014250,3.009900,3.013800,3.015150,3.011550,3.016650,3.013800,3.017850,3.012000,3.015150,3.018150,,,,,,,,,,,,,,,22.279322,20.229303,21.526012,21.511164,20.229303,22.279322,21.617823,22.131586,22.151972,20.780848,21.506067,,,,,,,,,0,0,0,0,0,0
19660,42.194248,3.018300,3.009900,3.013875,0.008400,3.012450,3.011850,3.011850,3.014100,3.009900,3.013800,3.015150,3.011550,3.016650,3.013650,3.017850,3.012000,3.015150,3.018300,,,,,,,,,,,,,,,22.274225,20.234339,21.525372,21.511164,20.234339,22.274225,21.612757,22.131586,22.151972,20.780848,21.506067,,,,,,,,,0,0,0,0,0,0
