Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
5623,111.930450,4.068300,3.926400,3.997516,0.141900,4.067850,4.068300,4.068150,4.067700,4.068000,4.068300,4.068300,4.066500,4.066950,4.067700,4.066050,4.066950,4.066350,4.066500,3.927450,3.926850,3.926400,3.928650,3.927000,3.926700,3.927600,3.927900,3.927150,3.928650,3.927750,3.928650,3.929100,3.927000,16.743982,14.410852,16.021397,15.593012,14.944300,16.593225,16.065516,16.698755,16.718866,16.020258,16.643488,14.934229,14.410852,15.688532,16.186121,16.357019,16.638453,16.105707,16.743982,0,0,0,0,0,0
6123,111.930138,4.068450,3.926550,3.997505,0.141900,4.067700,4.068300,4.068000,4.067700,4.068000,4.068450,4.068300,4.066500,4.066950,4.067700,4.066050,4.066950,4.066350,4.066500,3.927300,3.926700,3.926550,3.928650,3.927000,3.926700,3.927600,3.928050,3.927150,3.928650,3.927600,3.928650,3.929100,3.927000,16.743982,14.415888,16.022028,15.593012,14.944300,16.593225,16.065516,16.698755,16.723902,16.015253,16.643488,14.939264,14.415888,15.688532,16.186121,16.357019,16.638453,16.105707,16.743982,0,0,0,0,0,0
6624,111.930901,4.068300,3.926400,3.997532,0.141900,4.067850,4.068300,4.068150,4.067700,4.068000,4.068300,4.068300,4.066500,4.066950,4.067850,4.066050,4.066950,4.066350,4.066500,3.927450,3.926850,3.926400,3.928650,3.927000,3.926700,3.927600,3.927900,3.927150,3.928800,3.927750,3.928650,3.929100,3.927150,16.738977,14.415888,16.021084,15.593012,14.944300,16.598230,16.065516,16.698755,16.718866,16.015253,16.638453,14.934229,14.415888,15.688532,16.186121,16.357019,16.638453,16.105707,16.738977,0,0,0,0,0,0
7125,111.930130,4.068300,3.926400,3.997505,0.141900,4.067850,4.068300,4.068150,4.067550,4.068000,4.068300,4.068300,4.066350,4.066950,4.067700,4.066050,4.066950,4.066350,4.066350,3.927300,3.926850,3.926400,3.928650,3.927000,3.926700,3.927600,3.928050,3.927150,3.928650,3.927750,3.928650,3.929100,3.927150,16.743982,14.415888,16.022028,15.593012,14.944300,16.593225,16.065516,16.698755,16.718866,16.020258,16.643488,14.939264,14.415888,15.688532,16.181116,16.357019,16.643488,16.105707,16.743982,0,0,0,0,0,0
7626,111.931038,4.068450,3.926550,3.997537,0.141900,4.067850,4.068300,4.068150,4.067700,4.068000,4.068450,4.068300,4.066500,4.066950,4.067850,4.066050,4.066950,4.066350,4.066350,3.927450,3.926700,3.926550,3.928800,3.927000,3.926700,3.927600,3.928050,3.927150,3.928650,3.927750,3.928650,3.929100,3.927150,16.738977,14.415888,16.022343,15.593012,14.949335,16.593225,16.065516,16.698755,16.718866,16.020258,16.643488,14.939264,14.415888,15.688532,16.186121,16.357019,16.643488,16.105707,16.738977,0,0,0,0,0,0
8127,111.930138,4.068450,3.926550,3.997505,0.141900,4.067850,4.068300,4.068150,4.067700,4.068000,4.068450,4.068300,4.066500,4.066950,4.067700,4.066050,4.066950,4.066350,4.066500,3.927300,3.926700,3.926550,3.928650,3.927000,3.926700,3.927600,3.927900,3.927150,3.928650,3.927600,3.928650,3.928950,3.927000,16.743982,14.415888,16.022655,15.593012,14.949335,16.593225,16.065516,16.698755,16.718866,16.020258,16.643488,14.939264,14.415888,15.688532,16.186121,16.357019,16.643488,16.105707,16.743982,0,0,0,0,0,0
8628,111.929840,4.068300,3.926550,3.997494,0.141750,4.067700,4.068300,4.068000,4.067700,4.068000,4.068300,4.068300,4.066350,4.066950,4.067850,4.066050,4.066950,4.066350,4.066350,3.927300,3.926850,3.926550,3.928650,3.927000,3.926700,3.927600,3.927900,3.927150,3.928650,3.927600,3.928650,3.929100,3.927000,16.743982,14.415888,16.022655,15.593012,14.949335,16.593225,16.065516,16.698755,16.723902,16.020258,16.643488,14.939264,14.415888,15.688532,16.186121,16.357019,16.638453,16.105707,16.743982,0,0,0,0,0,0
9129,111.930290,4.068300,3.926400,3.997510,0.141900,4.067850,4.068300,4.068150,4.067700,4.068000,4.068300,4.068300,4.066500,4.066950,4.067700,4.066200,4.066950,4.066350,4.066350,3.927300,3.926700,3.926400,3.928650,3.927000,3.926550,3.927600,3.928050,3.927150,3.928650,3.927750,3.928650,3.929100,3.927150,16.743982,14.415888,16.022655,15.593012,14.949335,16.593225,16.065516,16.698755,16.718866,16.020258,16.643488,14.939264,14.415888,15.688532,16.186121,16.357019,16.643488,16.105707,16.743982,0,0,0,0,0,0
9630,111.930435,4.068300,3.926550,3.997515,0.141750,4.067850,4.068300,4.068000,4.067700,4.068000,4.068300,4.068300,4.066500,4.066950,4.067700,4.066050,4.066950,4.066350,4.066350,3.927300,3.926850,3.926550,3.928650,3.927000,3.926700,3.927600,3.928050,3.927150,3.928650,3.927750,3.928650,3.929100,3.927150,16.738977,14.415888,16.021715,15.593012,14.949335,16.593225,16.065516,16.698755,16.718866,16.020258,16.643488,14.939264,14.415888,15.688532,16.181116,16.357019,16.638453,16.105707,16.738977,0,0,0,0,0,0
10255,111.930443,4.068300,3.926550,3.997516,0.141750,4.067850,4.068300,4.068150,4.067700,4.068000,4.068300,4.068300,4.066500,4.066950,4.067850,4.066050,4.066950,4.066350,4.066350,3.927300,3.926700,3.926550,3.928650,3.927000,3.926700,3.927600,3.928050,3.927150,3.928650,3.927750,3.928650,3.929100,3.927000,16.738977,14.420923,16.022343,15.593012,14.949335,16.593225,16.065516,16.698755,16.718866,16.020258,16.643488,14.939264,14.420923,15.688532,16.186121,16.357019,16.643488,16.100672,16.738977,0,0,0,0,0,0
10756,111.930740,4.068450,3.926400,3.997526,0.142050,4.067850,4.068300,4.068150,4.067700,4.068000,4.068450,4.068300,4.066500,4.066950,4.067700,4.066200,4.066950,4.066500,4.066350,3.927450,3.926700,3.926400,3.928650,3.927150,3.926700,3.927600,3.927900,3.927150,3.928650,3.927750,3.928650,3.929100,3.927000,16.738977,14.425959,16.022972,15.593012,14.954370,16.593225,16.065516,16.698755,16.718866,16.020258,16.643488,14.944300,14.425959,15.688532,16.186121,16.357019,16.638453,16.100672,16.738977,0,0,0,0,0,0
