Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
31297,97.849800,3.495900,3.493200,3.494636,0.002700,3.494550,3.495150,3.494700,3.494700,3.494550,3.494700,3.495750,3.493350,3.494400,3.494250,3.495450,3.493200,3.495150,3.494850,3.495150,3.494400,3.495000,3.494700,3.495300,3.494250,3.493650,3.494400,3.494850,3.494850,3.494250,3.494550,3.495900,3.493800,20.254572,19.739252,19.985476,19.971552,19.991755,20.032190,20.087763,19.936213,19.956415,19.926111,20.113031,,,,,,,19.895807,20.254572,19.739252,19.971552,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
31798,97.849648,3.495900,3.493200,3.494630,0.002700,3.494550,3.495150,3.494700,3.494550,3.494400,3.494700,3.495750,3.493350,3.494400,3.494400,3.495600,3.493200,3.495300,3.494850,3.495000,3.494400,3.495000,3.494700,3.495300,3.494250,3.493650,3.494400,3.494850,3.494700,3.494250,3.494550,3.495900,3.493800,20.249506,19.739252,19.985790,19.971552,19.991755,20.032190,20.092829,19.936213,19.956415,19.931147,20.107996,,,,,,,19.895807,20.249506,19.739252,19.971552,19.885706,20.001886,20.006922,20.001886,0,0,0,0,0,0
32299,97.849648,3.495900,3.493350,3.494630,0.002550,3.494550,3.495150,3.494700,3.494550,3.494400,3.494850,3.495600,3.493350,3.494400,3.494400,3.495450,3.493350,3.495150,3.495000,3.495000,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494700,3.494700,3.494250,3.494400,3.495900,3.493950,20.254572,19.739252,19.985477,19.976618,19.991755,20.032190,20.087763,19.936213,19.956415,19.926111,20.107996,,,,,,,19.895807,20.254572,19.739252,19.971552,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
32800,97.849648,3.495900,3.493200,3.494630,0.002700,3.494550,3.495150,3.494700,3.494550,3.494400,3.494700,3.495750,3.493350,3.494250,3.494400,3.495450,3.493200,3.495150,3.495000,3.495000,3.494400,3.495000,3.494850,3.495450,3.494250,3.493650,3.494550,3.494700,3.494700,3.494250,3.494550,3.495900,3.493800,20.249506,19.739252,19.985790,19.971552,19.991755,20.032190,20.092829,19.936213,19.956415,19.931147,20.107996,,,,,,,19.895807,20.249506,19.739252,19.971552,19.885706,20.001886,20.006922,20.001886,0,0,0,0,0,0
33301,97.848892,3.495900,3.493200,3.494603,0.002700,3.494550,3.495150,3.494700,3.494550,3.494400,3.494700,3.495600,3.493350,3.494250,3.494400,3.495450,3.493200,3.495150,3.495000,3.495000,3.494250,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494700,3.494700,3.494250,3.494400,3.495900,3.493800,20.249506,19.739252,19.985159,19.971552,19.991755,20.032190,20.087763,19.936213,19.956415,19.926111,20.107996,,,,,,,19.895807,20.249506,19.739252,19.971552,19.885706,20.006922,20.001886,20.001886,0,0,0,0,0,0
33802,97.849640,3.495900,3.493200,3.494630,0.002700,3.494550,3.495150,3.494700,3.494550,3.494400,3.494850,3.495600,3.493350,3.494400,3.494400,3.495450,3.493200,3.495300,3.495000,3.495000,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494700,3.494850,3.494250,3.494400,3.495900,3.493800,20.254572,19.739252,19.985163,19.971552,19.991755,20.032190,20.092829,19.936213,19.956415,19.926111,20.107996,,,,,,,19.895807,20.254572,19.739252,19.966516,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
34303,97.849335,3.495900,3.493200,3.494619,0.002700,3.494550,3.495150,3.494700,3.494550,3.494400,3.494700,3.495750,3.493350,3.494400,3.494400,3.495450,3.493200,3.495300,3.495000,3.495000,3.494400,3.495000,3.494700,3.495300,3.494250,3.493650,3.494400,3.494700,3.494700,3.494250,3.494400,3.495900,3.493800,20.254572,19.739252,19.986738,19.976618,19.991755,20.032190,20.092829,19.936213,19.956415,19.931147,20.113031,,,,,,,19.895807,20.254572,19.739252,19.966516,19.885706,20.001886,20.006922,20.006922,0,0,0,0,0,0
34804,97.849648,3.495900,3.493200,3.494630,0.002700,3.494550,3.495150,3.494700,3.494550,3.494400,3.494850,3.495750,3.493350,3.494250,3.494400,3.495450,3.493200,3.495300,3.495000,3.495150,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494700,3.494700,3.494250,3.494400,3.495900,3.493800,20.249506,19.739252,19.985792,19.976618,19.991755,20.032190,20.092829,19.936213,19.956415,19.926111,20.107996,,,,,,,19.895807,20.249506,19.739252,19.971552,19.885706,20.001886,20.006922,20.001886,0,0,0,0,0,0
35305,97.849495,3.495900,3.493200,3.494625,0.002700,3.494550,3.495150,3.494700,3.494550,3.494400,3.494700,3.495750,3.493350,3.494400,3.494400,3.495450,3.493200,3.495150,3.494850,3.495000,3.494400,3.495150,3.494700,3.495450,3.494250,3.493650,3.494400,3.494850,3.494700,3.494250,3.494400,3.495900,3.493800,20.254572,19.739252,19.985474,19.971552,19.991755,20.032190,20.087763,19.931147,19.956415,19.926111,20.113031,,,,,,,19.895807,20.254572,19.739252,19.971552,19.885706,20.001886,20.006922,20.001886,0,0,0,0,0,0
35806,97.849037,3.495900,3.493200,3.494608,0.002700,3.494550,3.495000,3.494700,3.494550,3.494400,3.494850,3.495750,3.493350,3.494250,3.494400,3.495450,3.493200,3.495150,3.495000,3.495000,3.494400,3.495000,3.494700,3.495300,3.494250,3.493650,3.494400,3.494700,3.494700,3.494250,3.494400,3.495900,3.493800,20.254572,19.739252,19.986107,19.971552,19.991755,20.032190,20.092829,19.936213,19.956415,19.931147,20.113031,,,,,,,19.900843,20.254572,19.739252,19.966516,19.885706,20.001886,20.001886,20.001886,0,0,0,0,0,0
36808,97.848892,3.495900,3.493200,3.494603,0.002700,3.494550,3.495000,3.494700,3.494550,3.494400,3.494700,3.495750,3.493350,3.494250,3.494400,3.495450,3.493200,3.495150,3.494850,3.495000,3.494250,3.495000,3.494700,3.495300,3.494250,3.493650,3.494400,3.494850,3.494700,3.494250,3.494400,3.495900,3.493950,20.254572,19.739252,19.986736,19.971552,19.991755,20.032190,20.092829,19.936213,19.956415,19.931147,20.113031,,,,,,,19.900843,20.254572,19.739252,19.971552,19.885706,20.001886,20.006922,20.001886,0,0,0,0,0,0
37309,97.849342,3.495900,3.493200,3.494619,0.002700,3.494550,3.495150,3.494700,3.494550,3.494550,3.494850,3.495750,3.493350,3.494400,3.494400,3.495450,3.493200,3.495150,3.494850,3.495000,3.494250,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494700,3.494700,3.494250,3.494400,3.495900,3.493800,20.249506,19.739252,19.985790,19.971552,19.991755,20.032190,20.092829,19.936213,19.956415,19.931147,20.113031,,,,,,,19.895807,20.249506,19.739252,19.966516,19.885706,20.001886,20.006922,20.001886,0,0,0,0,0,0
37810,97.849197,3.495900,3.493200,3.494614,0.002700,3.494550,3.495000,3.494700,3.494550,3.494400,3.494700,3.495750,3.493350,3.494250,3.494400,3.495450,3.493200,3.495300,3.494850,3.495000,3.494250,3.495000,3.494700,3.495450,3.494250,3.493650,3.494550,3.494850,3.494700,3.494250,3.494400,3.495900,3.493800,20.254572,19.744318,19.986423,19.971552,19.991755,20.032190,20.092829,19.936213,19.956415,19.931147,20.107996,,,,,,,19.900843,20.254572,19.744318,19.966516,19.885706,20.001886,20.006922,20.001886,0,0,0,0,0,0
38311,97.849495,3.495900,3.493200,3.494625,0.002700,3.494550,3.495150,3.494700,3.494550,3.494400,3.494850,3.495750,3.493350,3.494400,3.494400,3.495450,3.493200,3.495150,3.495000,3.495000,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494700,3.494700,3.494250,3.494400,3.495900,3.493800,20.254572,19.739252,19.986422,19.971552,19.991755,20.032190,20.092829,19.936213,19.956415,19.931147,20.113031,,,,,,,19.895807,20.254572,19.739252,19.971552,19.885706,20.001886,20.006922,20.001886,0,0,0,0,0,0
38812,97.849648,3.495900,3.493200,3.494630,0.002700,3.494550,3.495150,3.494700,3.494550,3.494400,3.494700,3.495750,3.493350,3.494400,3.494400,3.495600,3.493200,3.495150,3.495000,3.495000,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494850,3.494700,3.494250,3.494400,3.495900,3.493800,20.254572,19.739252,19.986736,19.971552,19.991755,20.032190,20.092829,19.936213,19.956415,19.931147,20.113031,,,,,,,19.900843,20.254572,19.739252,19.971552,19.885706,20.001886,20.006922,20.001886,0,0,0,0,0,0
39313,97.849342,3.495750,3.493200,3.494619,0.002550,3.494550,3.495150,3.494700,3.494550,3.494400,3.494700,3.495750,3.493350,3.494400,3.494400,3.495450,3.493200,3.495150,3.495000,3.495000,3.494400,3.495000,3.494700,3.495450,3.494250,3.493650,3.494400,3.494850,3.494700,3.494250,3.494400,3.495750,3.493800,20.249506,19.739252,19.986734,19.971552,19.991755,20.032190,20.092829,19.936213,19.956415,19.931147,20.113031,,,,,,,19.895807,20.249506,19.739252,19.971552,19.885706,20.006922,20.006922,20.006922,0,0,0,0,0,0
