charger_voltage,charger_current,total_v,max_v,min_v,avg_v,max_temp,min_temp,avg_temp,max_min_balance
,,441.799316,3.948300,3.939150,3.944637,19.219629,16.432398,17.926823,0.009150
442.899994,3.900000,441.819702,3.948450,3.939150,3.944819,19.219629,16.432398,17.927843,0.009300
,,441.824127,3.948600,3.939450,3.944858,19.224665,16.432398,17.928314,0.009150
443.000000,3.900000,441.839478,3.949050,3.939300,3.944995,19.224665,16.432398,17.929024,0.009750
,,441.830658,3.949200,3.939150,3.944916,19.224665,16.432398,17.929575,0.010050
443.000000,3.900000,441.825684,3.948750,3.939150,3.944872,19.224665,16.432398,17.930046,0.009600
,,441.835114,3.948600,3.939300,3.944956,19.224665,16.432398,17.930752,0.009300
443.000000,3.900000,441.836578,3.948750,3.939300,3.944969,19.224665,16.432398,17.931068,0.009450
,,441.856873,3.949200,3.939600,3.945151,19.224665,16.432398,17.931931,0.009600
443.000000,3.900000,441.846710,3.949500,3.939300,3.945060,19.229700,16.437433,17.932404,0.010200
,,441.847809,3.949200,3.939300,3.945070,19.229700,16.437433,17.932484,0.009900
443.000000,3.900000,441.832733,3.948450,3.939300,3.944935,19.229700,16.437433,17.933661,0.009150
,,441.853851,3.948900,3.939600,3.945124,19.229700,16.437433,17.934290,0.009300
443.000000,3.900000,441.859192,3.949050,3.939900,3.945171,19.229700,16.437433,17.934839,0.009150
,,441.864502,3.949650,3.939300,3.945219,19.229700,16.437433,17.934841,0.010350
443.000000,3.900000,441.863922,3.949500,3.939300,3.945214,19.229700,16.437433,17.936094,0.010200
,,441.845490,3.948750,3.939450,3.945049,19.229700,16.442438,17.936646,0.009300
443.000000,3.900000,441.867004,3.948750,3.939600,3.945241,19.229700,16.437433,17.937197,0.009150
443.000000,3.900000,441.873566,3.948900,3.940050,3.945300,19.234766,16.437433,17.937511,0.008850
443.000000,3.900000,441.897125,3.949650,3.939900,3.945510,19.239801,16.442438,17.939083,0.009750
,,441.886230,3.949800,3.939600,3.945413,19.234766,16.442438,17.939947,0.010200
443.100006,3.900000,441.881226,3.949050,3.939600,3.945368,19.234766,16.442438,17.940107,0.009450
,,441.893188,3.949050,3.939750,3.945475,19.234766,16.442438,17.940498,0.009300
443.000000,3.900000,441.893036,3.949350,3.939750,3.945473,19.239801,16.447474,17.941681,0.009600
,,441.916840,3.949800,3.940050,3.945686,19.239801,16.442438,17.942074,0.009750
443.000000,3.900000,441.903961,3.950100,3.939600,3.945571,19.239801,16.442438,17.942389,0.010500
,,441.898193,3.949200,3.939750,3.945520,19.239801,16.447474,17.942940,0.009450
443.000000,3.900000,441.893890,3.949050,3.939900,3.945481,19.239801,16.447474,17.943804,0.009150
,,441.912872,3.949350,3.940050,3.945651,19.239801,16.447474,17.943960,0.009300
443.100006,3.900000,441.920319,3.949500,3.940500,3.945717,19.239801,16.447474,17.944824,0.009000
,,441.919556,3.950250,3.940050,3.945710,19.244837,16.447474,17.945610,0.010200
443.100006,3.900000,441.920929,3.949950,3.939900,3.945723,19.244837,16.447474,17.945923,0.010050
,,441.910553,3.949350,3.939900,3.945630,19.239801,16.447474,17.946711,0.009450
443.100006,3.900000,441.928558,3.949500,3.940050,3.945791,19.244837,16.447474,17.947182,0.009450
,,441.941193,3.949800,3.940650,3.945904,19.244837,16.447474,17.947340,0.009150
443.100006,3.900000,441.942657,3.950100,3.940500,3.945917,19.244837,16.447474,17.948202,0.009600
,,441.941925,3.949950,3.940050,3.945910,19.244837,16.447474,17.948832,0.009900
443.000000,3.900000,441.930054,3.949500,3.940200,3.945804,19.244837,16.452509,17.950010,0.009300
442.899994,3.900000,441.940369,3.949500,3.940200,3.945896,19.249872,16.452509,17.950874,0.009300
,,441.964233,3.949950,3.940800,3.946109,19.249872,16.452509,17.951738,0.009150
443.000000,3.900000,441.967010,3.950550,3.940350,3.946134,19.249872,16.452509,17.952288,0.010200
,,441.964905,3.950100,3.940350,3.946115,19.249872,16.452509,17.952528,0.009750
443.000000,3.900000,441.954559,3.949800,3.940500,3.946023,19.249872,16,17.953310,0.009300
,,441.969116,3.949800,3.940500,3.946153,19.249872,16.452509,17.953861,0.009300
443.000000,3.900000,441.969574,3.949950,3.940500,3.946157,19.249872,16.457514,17.954805,0.009450
443.000000,3.900000,441.989014,3.950700,3.940650,3.946331,19.249872,16.457514,17.955515,0.010050
,,441.977905,3.950700,3.940200,3.946231,19.254908,16.457514,17.955984,0.010500
443.000000,3.900000,441.968231,3.950100,3.940500,3.946145,19.249872,16.452509,17.956142,0.009600
,,441.969849,3.949800,3.940500,3.946159,19.254908,16.457514,17.956455,0.009300
443.000000,3.900000,441.985016,3.950100,3.940800,3.946295,19.254908,16.457514,17.957087,0.009300
,,441.995087,3.950400,3.941100,3.946385,19.254908,16.457514,17.957638,0.009300
443.000000,3.900000,441.996918,3.950850,3.940500,3.946401,19.254908,16.457514,17.958502,0.010350
,,442.000244,3.950850,3.940650,3.946431,19.254908,16.457514,17.959051,0.010200
443.100006,3.900000,441.985077,3.949950,3.940650,3.946295,19.259974,16.457514,17.959761,0.009300
,,442.005310,3.950250,3.940800,3.946476,19.259974,16.457514,17.960234,0.009450
443.100006,3.900000,442.011627,3.950400,3.941100,3.946532,19.259974,16.457514,17.961254,0.009300
443.100006,3.900000,442.025482,3.950850,3.941100,3.946656,19.259974,16.457514,17.961412,0.009750
,,442.016174,3.950700,3.940800,3.946573,19.259974,16.462549,17.963221,0.009900
443.100006,3.900000,442.006683,3.950100,3.940800,3.946488,19.259974,16.462549,17.963923,0.009300
,,442.026733,3.950550,3.940950,3.946667,19.265009,16.462549,17.964161,0.009600
443.100006,3.900000,442.027954,3.950400,3.941400,3.946678,19.259974,16.462549,17.965263,0.009000
,,442.039825,3.951300,3.940950,3.946784,19.265009,16.462549,17.965418,0.010350
443.100006,3.900000,442.034058,3.951150,3.940800,3.946733,19.265009,16.462549,17.965813,0.010350
,,442.023041,3.950250,3.940950,3.946634,19.265009,16.462549,17.966049,0.009300
443.100006,3.900000,442.032806,3.950400,3.941100,3.946722,19.265009,16.462549,17.966913,0.009300
,,442.045959,3.950700,3.941250,3.946839,19.265009,16.462549,17.967464,0.009450
443.100006,3.900000,442.056000,3.950700,3.941400,3.946929,19.265009,16.467585,17.967777,0.009300
,,442.054413,3.951300,3.940950,3.946914,19.270044,16.467585,17.969036,0.010350
443.100006,3.900000,442.058197,3.951150,3.941100,3.946948,19.270044,16.467585,17.969664,0.010050
,,442.045624,3.950550,3.941250,3.946836,19.265009,16.467585,17.969822,0.009300
443.100006,3.900000,442.059113,3.950700,3.941250,3.946956,19.270044,16.467585,17.970606,0.009450
,,442.068970,3.951000,3.941700,3.947044,19.270044,16.467585,17.971155,0.009300
443.100006,3.900000,442.083710,3.951300,3.941850,3.947176,19.270044,16.467585,17.971706,0.009450
,,442.079498,3.951600,3.941550,3.947138,19.270044,16.472589,17.971941,0.010050
443.100006,3.900000,442.077606,3.951450,3.941250,3.947121,19.270044,16.467585,17.972260,0.010200
443.200012,3.900000,442.081390,3.951300,3.941250,3.947155,19.275080,16.467585,17.973122,0.010050
443.200012,3.900000,442.088379,3.951450,3.941400,3.947218,19.275080,16.472589,17.974697,0.010050
,,442.083557,3.951000,3.941550,3.947175,19.275080,16.472589,17.975405,0.009450
443.200012,3.900000,442.077545,3.950850,3.941700,3.947121,19.275080,16.472589,17.976191,0.009150
,,442.089233,3.950850,3.941550,3.947225,19.275080,16.472589,17.976582,0.009300
443.200012,3.900000,442.101379,3.951150,3.941550,3.947334,19.280146,16.472589,17.977291,0.009600
,,442.102325,3.951150,3.941850,3.947342,19.275080,16.472589,17.977604,0.009300
443.100006,3.900000,442.120178,3.951600,3.942150,3.947502,19.275080,16.472589,17.978073,0.009450
,,442.124512,3.951900,3.941850,3.947540,19.280146,16.477625,17.979019,0.010050
443.200012,3.900000,442.117493,3.952050,3.941700,3.947478,19.275080,16.477625,17.979176,0.010350
,,442.120148,3.951750,3.941550,3.947501,19.280146,16.477625,17.980196,0.010200
443.200012,3.900000,442.117950,3.951600,3.941700,3.947482,19.280146,16.477625,17.980747,0.009900
,,442.109344,3.951300,3.941850,3.947405,19.280146,16.477625,17.980984,0.009450
443.200012,3.900000,442.117371,3.951150,3.941700,3.947477,19.280146,16.477625,17.982084,0.009450
,,442.129517,3.951450,3.941850,3.947585,19.285181,16.477625,17.982243,0.009600
443.200012,3.900000,442.131317,3.951450,3.941850,3.947601,19.280146,16.477625,17.983343,0.009600
,,442.143372,3.951900,3.942450,3.947709,19.285181,16.477625,17.983503,0.009450
443.200012,3.900000,442.156677,3.952200,3.942150,3.947828,19.285181,16.477625,17.983974,0.010050
,,442.145813,3.952200,3.941850,3.947731,19.285181,16.482660,17.985075,0.010350
443.200012,3.900000,442.147339,3.952050,3.941850,3.947744,19.285181,16.482660,17.984997,0.010200
443.200012,3.900000,442.155609,3.952350,3.941850,3.947818,19.285181,16.482660,17.986963,0.010500
,,442.159515,3.951900,3.942000,3.947853,19.290216,16.482660,17.987591,0.009900
443.200012,3.900000,442.154694,3.951600,3.942150,3.947810,19.290216,16.482660,17.987827,0.009450
,,442.149994,3.951450,3.942150,3.947768,19.290216,16.482660,17.988298,0.009300
443.200012,3.900000,442.165131,3.951450,3.942150,3.947903,19.290216,16.482660,17.989317,0.009300
,,442.177338,3.951750,3.942300,3.948012,19.290216,16.487665,17.990103,0.009450
