Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
9128,98.805000,2.988750,2.980050,3.528750,0.008700,4.074000,4.074300,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.073100,2.986200,2.984250,2.986050,2.986350,2.988750,2.983950,2.981250,2.982000,2.982900,2.981850,2.980050,2.986050,2.983350,2.982150,27.370081,19.900843,23.621664,25.721216,23.875757,26.965052,26.755152,27.354273,27.370081,24.932734,26.755152,19.926111,19.900843,20.537836,21.841516,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
9629,98.804390,2.988750,2.979900,3.528728,0.008850,4.074000,4.074450,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986350,2.988750,2.983950,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983200,2.982150,27.370081,19.900843,23.621014,25.721216,23.875757,26.965052,26.749903,27.354273,27.370081,24.932734,26.755152,19.931147,19.900843,20.537836,21.836420,21.181238,21.902552,20.917627,22.004328,0,0,0,0,0,0
10254,98.804390,2.988750,2.979900,3.528728,0.008850,4.074000,4.074300,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986200,2.984100,2.986050,2.986350,2.988750,2.983950,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983350,2.982150,27.370081,19.900843,23.620033,25.721216,23.875757,26.965052,26.749903,27.349024,27.370081,24.927546,26.749903,19.931147,19.900843,20.537836,21.836420,21.181238,21.902552,20.917627,22.004328,0,0,0,0,0,0
10755,98.804092,2.988750,2.980050,3.528718,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986200,2.984250,2.985900,2.986350,2.988750,2.983950,2.981250,2.982000,2.982750,2.981700,2.980050,2.986050,2.983350,2.982150,27.370081,19.900843,23.619711,25.715998,23.870630,26.959803,26.755152,27.349024,27.370081,24.932734,26.749903,19.931147,19.900843,20.537836,21.836420,21.181238,21.902552,20.917627,22.004328,0,0,0,0,0,0
11256,98.804543,2.988750,2.979900,3.528734,0.008850,4.073850,4.074300,4.074150,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.074000,4.072500,4.073250,4.072800,4.072950,2.986350,2.984250,2.985900,2.986350,2.988750,2.984100,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983200,2.982150,27.364832,19.900843,23.619688,25.715998,23.875757,26.959803,26.749903,27.349024,27.364832,24.927546,26.749903,19.931147,19.900843,20.537836,21.841516,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
11758,98.804092,2.988750,2.979900,3.528718,0.008850,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986350,2.988750,2.983950,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983350,2.982150,27.364832,19.900843,23.619370,25.715998,23.875757,26.959803,26.749903,27.349024,27.364832,24.927546,26.749903,19.931147,19.900843,20.537836,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
12259,98.804092,2.988750,2.979900,3.528718,0.008850,4.073850,4.074300,4.074000,4.073700,4.074000,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986350,2.988750,2.983950,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983350,2.982150,27.364832,19.900843,23.618723,25.715998,23.870630,26.959803,26.749903,27.349024,27.364832,24.927546,26.744684,19.931147,19.900843,20.537836,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
12760,98.804398,2.988600,2.979900,3.528728,0.008700,4.074000,4.074300,4.074150,4.073700,4.073850,4.074300,4.074450,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986350,2.988600,2.984100,2.981250,2.982000,2.982750,2.981850,2.979900,2.986050,2.983350,2.982150,27.364832,19.900843,23.617744,25.710810,23.870630,26.954554,26.744684,27.349024,27.364832,24.927546,26.744684,19.931147,19.900843,20.537836,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
13261,98.804245,2.988750,2.980050,3.528723,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986350,2.988750,2.983950,2.981250,2.982000,2.982750,2.981850,2.980050,2.986050,2.983350,2.982150,27.359552,19.905909,23.617731,25.710810,23.870630,26.954554,26.744684,27.349024,27.359552,24.927546,26.744684,19.931147,19.905909,20.537836,21.836420,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
13762,98.803642,2.988600,2.979900,3.528702,0.008700,4.073850,4.074300,4.074150,4.073700,4.073850,4.074300,4.074300,4.072500,4.073100,4.073850,4.072500,4.073250,4.072800,4.072950,2.986350,2.984100,2.985900,2.986200,2.988600,2.984100,2.981250,2.982000,2.982750,2.981700,2.979900,2.986050,2.983200,2.982150,27.359552,19.905909,23.617720,25.710810,23.870630,26.954554,26.744684,27.343744,27.359552,24.927546,26.744684,19.931147,19.905909,20.537836,21.841516,21.181238,21.907648,20.917627,22.004328,0,0,0,0,0,0
