Time,total_v,max_v,min_v,avg_v,max-min,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,max_temp,min_temp,avg_temp,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,undervoltage,overvoltage,pec,overtemperature,openwire,openwire_temp
9129,97.792496,3.493800,3.491100,3.492589,0.002700,3.492600,3.493050,3.492600,3.492600,3.492600,3.492900,3.493650,3.491550,3.492450,3.492300,3.493350,3.491100,3.493050,3.492750,3.492900,3.492150,3.492750,3.492750,3.493050,3.492300,3.491550,3.492450,3.492750,3.492750,3.492300,3.492600,3.493800,3.491850,20.077662,19.471796,19.887020,20.057459,19.562616,20.037256,20.006922,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
9630,97.791893,3.493800,3.491100,3.492568,0.002700,3.492600,3.493050,3.492600,3.492600,3.492600,3.492900,3.493650,3.491550,3.492450,3.492300,3.493350,3.491100,3.493050,3.492750,3.492750,3.492150,3.492600,3.492750,3.493050,3.492150,3.491550,3.492450,3.492750,3.492750,3.492300,3.492450,3.493800,3.491850,20.077662,19.471796,19.886703,20.057459,19.562616,20.037256,20.006922,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
10255,97.792938,3.493800,3.491100,3.492605,0.002700,3.492600,3.493200,3.492600,3.492600,3.492600,3.492900,3.493800,3.491400,3.492450,3.492300,3.493350,3.491100,3.493050,3.492900,3.492750,3.492300,3.492750,3.492900,3.493050,3.492150,3.491700,3.492450,3.492750,3.492900,3.492300,3.492450,3.493800,3.491850,20.077662,19.471796,19.886703,20.052393,19.562616,20.037256,20.006922,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
10756,97.792488,3.493800,3.491250,3.492589,0.002550,3.492600,3.493050,3.492600,3.492600,3.492450,3.492900,3.493800,3.491550,3.492450,3.492300,3.493350,3.491250,3.493050,3.492750,3.492900,3.492150,3.492750,3.492750,3.493050,3.492150,3.491550,3.492450,3.492750,3.492900,3.492300,3.492450,3.493800,3.491850,20.077662,19.471796,19.887337,20.057459,19.562616,20.037256,20.011988,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
11257,97.667107,3.489300,3.486600,3.488111,0.002700,3.488250,3.488850,3.488250,3.488100,3.488100,3.488550,3.489150,3.487050,3.487950,3.487800,3.488850,3.486600,3.488400,3.488250,3.488400,3.487800,3.488400,3.488400,3.488550,3.487800,3.487050,3.487950,3.488250,3.488250,3.487650,3.487950,3.489300,3.487200,20.077662,19.471796,19.887020,20.057459,19.562616,20.037256,20.006922,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
11758,97.649399,3.488700,3.486000,3.487478,0.002700,3.487500,3.488100,3.487650,3.487500,3.487500,3.487800,3.488550,3.486450,3.487350,3.487200,3.488250,3.486000,3.487800,3.487650,3.487650,3.487050,3.487500,3.487650,3.487950,3.487050,3.486450,3.487350,3.487650,3.487650,3.487200,3.487500,3.488700,3.486750,20.077662,19.471796,19.887020,20.057459,19.562616,20.037256,20.011988,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
12259,97.644447,3.488550,3.486000,3.487302,0.002550,3.487350,3.487800,3.487500,3.487350,3.487350,3.487650,3.488400,3.486300,3.487200,3.487050,3.488100,3.486000,3.487650,3.487500,3.487350,3.486900,3.487350,3.487500,3.487650,3.486900,3.486300,3.487200,3.487350,3.487500,3.487050,3.487200,3.488550,3.486450,20.077662,19.471796,19.886703,20.057459,19.562616,20.032190,20.006922,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
12760,97.639664,3.488250,3.485700,3.487131,0.002550,3.487200,3.487650,3.487350,3.487050,3.487200,3.487500,3.488250,3.486150,3.487050,3.486900,3.487950,3.485700,3.487350,3.487200,3.487200,3.486750,3.487200,3.487350,3.487500,3.486750,3.486150,3.487050,3.487350,3.487350,3.486900,3.487050,3.488250,3.486300,20.077662,19.471796,19.886070,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
13261,97.635902,3.488250,3.485550,3.486996,0.002700,3.487050,3.487500,3.487200,3.487050,3.486900,3.487350,3.488100,3.486000,3.486900,3.486750,3.487800,3.485550,3.487350,3.487200,3.487050,3.486600,3.487050,3.487200,3.487350,3.486600,3.486000,3.486900,3.487200,3.487200,3.486750,3.486900,3.488250,3.486150,20.077662,19.471796,19.886387,20.057459,19.567652,20.032190,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
13762,97.632156,3.488100,3.485400,3.486863,0.002700,3.486900,3.487350,3.486900,3.486900,3.486900,3.487200,3.488100,3.485850,3.486750,3.486600,3.487650,3.485400,3.487200,3.487050,3.486900,3.486450,3.487050,3.487050,3.487350,3.486450,3.486000,3.486750,3.487050,3.487050,3.486600,3.486750,3.487950,3.486000,20.077662,19.471796,19.887653,20.057459,19.562616,20.037256,20.011988,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
14263,97.629448,3.487950,3.485250,3.486766,0.002700,3.486750,3.487350,3.486900,3.486750,3.486750,3.487200,3.487950,3.485700,3.486750,3.486450,3.487500,3.485250,3.487050,3.486900,3.486900,3.486450,3.486900,3.486900,3.487200,3.486450,3.485850,3.486600,3.486900,3.486900,3.486450,3.486750,3.487950,3.486000,20.077662,19.471796,19.886387,20.052393,19.562616,20.037256,20.006922,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
14764,97.626465,3.487800,3.485250,3.486660,0.002550,3.486750,3.487200,3.486750,3.486750,3.486600,3.487050,3.487800,3.485700,3.486600,3.486300,3.487350,3.485250,3.486900,3.486750,3.486750,3.486300,3.486750,3.486900,3.487050,3.486300,3.485700,3.486600,3.486750,3.486900,3.486450,3.486600,3.487800,3.485850,20.077662,19.471796,19.886389,20.052393,19.562616,20.037256,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
15265,97.623444,3.487800,3.485100,3.486552,0.002700,3.486600,3.487050,3.486750,3.486600,3.486450,3.486900,3.487650,3.485550,3.486450,3.486300,3.487350,3.485100,3.486900,3.486600,3.486600,3.486150,3.486600,3.486750,3.486900,3.486150,3.485550,3.486450,3.486750,3.486750,3.486300,3.486600,3.487800,3.485850,20.077662,19.471796,19.886389,20.052393,19.562616,20.037256,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
15766,97.620155,3.487650,3.484950,3.486434,0.002700,3.486450,3.487050,3.486600,3.486450,3.486450,3.486750,3.487650,3.485400,3.486300,3.486150,3.487200,3.484950,3.486750,3.486600,3.486450,3.486000,3.486600,3.486600,3.486900,3.486000,3.485550,3.486300,3.486600,3.486600,3.486150,3.486300,3.487650,3.485700,20.077662,19.471796,19.885754,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.860437,20.077662,,,,,,,19.703913,0,0,0,0,0,0
16267,97.618202,3.487500,3.484950,3.486364,0.002550,3.486300,3.486900,3.486450,3.486450,3.486300,3.486750,3.487500,3.485400,3.486300,3.486150,3.487050,3.484950,3.486600,3.486450,3.486450,3.486000,3.486450,3.486600,3.486750,3.486000,3.485400,3.486300,3.486600,3.486600,3.486150,3.486300,3.487500,3.485550,20.077662,19.471796,19.886072,20.057459,19.562616,20.032190,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
16768,97.615211,3.487500,3.484800,3.486258,0.002700,3.486300,3.486750,3.486450,3.486300,3.486300,3.486750,3.487350,3.485250,3.486150,3.486000,3.487050,3.484800,3.486450,3.486450,3.486300,3.485850,3.486300,3.486450,3.486600,3.485850,3.485250,3.486150,3.486450,3.486450,3.486000,3.486150,3.487500,3.485550,20.077662,19.471796,19.886389,20.052393,19.562616,20.037256,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
17269,97.613098,3.487350,3.484800,3.486182,0.002550,3.486150,3.486750,3.486300,3.486150,3.486150,3.486600,3.487350,3.485100,3.486150,3.486000,3.486900,3.484800,3.486450,3.486300,3.486300,3.485850,3.486150,3.486450,3.486600,3.485850,3.485250,3.486000,3.486300,3.486300,3.486000,3.486150,3.487350,3.485400,20.077662,19.471796,19.885756,20.052393,19.562616,20.037256,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
17770,97.610542,3.487200,3.484650,3.486091,0.002550,3.486150,3.486600,3.486150,3.486150,3.486150,3.486450,3.487200,3.485100,3.486000,3.485850,3.486900,3.484650,3.486450,3.486150,3.486300,3.485700,3.486150,3.486300,3.486450,3.485700,3.485100,3.486000,3.486300,3.486300,3.485850,3.486000,3.487200,3.485250,20.077662,19.471796,19.885439,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
18271,97.608002,3.487200,3.484650,3.486000,0.002550,3.486000,3.486600,3.486150,3.486000,3.486000,3.486450,3.487200,3.484950,3.485850,3.485700,3.486750,3.484650,3.486300,3.486150,3.486150,3.485700,3.486000,3.486150,3.486300,3.485700,3.484950,3.485850,3.486150,3.486150,3.485700,3.486000,3.487200,3.485250,20.077662,19.471796,19.885439,20.057459,19.562616,20.032190,20.006922,19.931147,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
18771,97.606949,3.487200,3.484500,3.485962,0.002700,3.486000,3.486600,3.486150,3.486000,3.486000,3.486300,3.487050,3.484950,3.485850,3.485700,3.486750,3.484500,3.486300,3.486150,3.486000,3.485550,3.486000,3.486150,3.486300,3.485550,3.484950,3.485850,3.486150,3.486150,3.485700,3.486000,3.487200,3.485100,20.077662,19.471796,19.886070,20.052393,19.567652,20.032190,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
19273,97.604095,3.487050,3.484500,3.485861,0.002550,3.485850,3.486450,3.486000,3.485850,3.485850,3.486300,3.487050,3.484800,3.485850,3.485550,3.486600,3.484500,3.486150,3.486000,3.486000,3.485550,3.485850,3.486000,3.486300,3.485400,3.484950,3.485700,3.486000,3.486000,3.485550,3.485850,3.487050,3.485100,20.077662,19.471796,19.885439,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
19774,97.602448,3.486900,3.484350,3.485802,0.002550,3.485850,3.486450,3.486000,3.485850,3.485850,3.486150,3.486900,3.484800,3.485700,3.485550,3.486450,3.484350,3.486150,3.485850,3.485850,3.485400,3.485850,3.486000,3.486300,3.485400,3.484800,3.485700,3.486000,3.486000,3.485550,3.485850,3.486900,3.484950,20.077662,19.471796,19.885122,20.052393,19.562616,20.032190,20.006922,19.936213,19.951349,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
20275,97.600197,3.486900,3.484200,3.485721,0.002700,3.485700,3.486300,3.485850,3.485850,3.485700,3.486150,3.486900,3.484650,3.485700,3.485550,3.486450,3.484200,3.486150,3.485850,3.485850,3.485250,3.485700,3.485850,3.486150,3.485400,3.484650,3.485700,3.485850,3.485850,3.485400,3.485700,3.486900,3.484950,20.077662,19.471796,19.885122,20.052393,19.562616,20.032190,20.006922,19.931147,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
20776,97.598701,3.486900,3.484200,3.485668,0.002700,3.485700,3.486150,3.485850,3.485700,3.485700,3.486150,3.486750,3.484650,3.485550,3.485400,3.486300,3.484200,3.486000,3.485850,3.485850,3.485250,3.485700,3.485850,3.486000,3.485250,3.484650,3.485550,3.485850,3.485850,3.485400,3.485700,3.486900,3.484950,20.077662,19.476831,19.886070,20.052393,19.562616,20.037256,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
21277,97.597046,3.486750,3.484200,3.485609,0.002550,3.485700,3.486150,3.485700,3.485700,3.485550,3.486000,3.486750,3.484650,3.485550,3.485400,3.486300,3.484200,3.485850,3.485700,3.485700,3.485250,3.485550,3.485850,3.486000,3.485250,3.484650,3.485550,3.485700,3.485850,3.485400,3.485550,3.486750,3.484800,20.077662,19.471796,19.885122,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.850336,20.077662,,,,,,,19.703913,0,0,0,0,0,0
21778,97.595245,3.486750,3.484200,3.485544,0.002550,3.485550,3.486150,3.485700,3.485550,3.485550,3.486000,3.486750,3.484500,3.485400,3.485250,3.486300,3.484200,3.485850,3.485700,3.485550,3.485100,3.485550,3.485700,3.486000,3.485100,3.484650,3.485400,3.485700,3.485850,3.485250,3.485550,3.486750,3.484650,20.077662,19.471796,19.884806,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.850336,20.077662,,,,,,,19.703913,0,0,0,0,0,0
22279,97.593895,3.486750,3.484050,3.485496,0.002700,3.485550,3.486000,3.485700,3.485550,3.485550,3.485850,3.486600,3.484500,3.485400,3.485250,3.486300,3.484050,3.485850,3.485700,3.485550,3.485100,3.485550,3.485700,3.485850,3.485100,3.484500,3.485400,3.485550,3.485700,3.485250,3.485400,3.486750,3.484650,20.072626,19.471796,19.885124,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.855402,20.072626,,,,,,,19.703913,0,0,0,0,0,0
22780,97.592102,3.486600,3.483900,3.485432,0.002700,3.485550,3.486000,3.485550,3.485400,3.485400,3.485850,3.486600,3.484500,3.485400,3.485100,3.486150,3.483900,3.485850,3.485550,3.485400,3.485100,3.485400,3.485700,3.485850,3.484950,3.484350,3.485400,3.485550,3.485700,3.485250,3.485400,3.486600,3.484650,20.077662,19.471796,19.885439,20.052393,19.562616,20.032190,20.006922,19.936213,19.956415,19.855402,20.077662,,,,,,,19.703913,0,0,0,0,0,0
