"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.275942333E0,-3.268127600E-2,3.624145375E-2,1.411003304E-1
4.325789333E0,3.495428972E-2,2.839798040E-2,-2.862293923E-1
4.375637333E0,-1.252860971E-2,-3.031603158E-2,7.704115927E-2
4.425484333E0,-1.980360579E-2,9.016406536E-4,-5.811898470E-2
4.475331333E0,2.694486508E-2,9.776381945E-2,9.551426768E-3
4.525178333E0,1.085608676E-2,-6.549945907E-2,-3.968271375E-2
4.575025333E0,2.503037704E-2,-6.554913299E-2,-1.121519351E-1
4.624873333E0,-4.557418551E-2,6.330162775E-2,4.217245817E-2
4.674720333E0,1.386338286E-3,4.079803359E-4,-1.289006996E-1
4.724567333E0,1.791049663E-2,-3.331973713E-2,3.978270113E-2
4.774414333E0,3.604998484E-2,4.316653051E-2,-3.268710494E-2
4.824262333E0,-1.459278647E-2,2.305620172E-2,6.410887241E-3
4.874109333E0,1.254313638E-2,-6.626811211E-2,-1.018093801E-1
4.923956333E0,-7.003867999E-3,-3.639706277E-2,-8.850404084E-2
4.973803333E0,-6.112456318E-2,8.968862277E-2,6.446789145E-2
5.023650333E0,1.285609216E-1,-1.417581878E-1,-1.361091471E-1
5.073498333E0,-7.457399972E-2,1.426195649E-1,7.419531941E-2
5.123345333E0,-6.464718170E-3,-9.140919339E-2,-1.648435342E-1
5.173191958E0,1.905178176E-2,7.218857327E-2,4.247242033E-2
5.223038958E0,8.751509394E-3,-3.155047017E-2,6.688629985E-3
5.272886958E0,7.314391695E-3,9.268083489E-3,-1.311700040E-1
5.322733958E0,-7.674379181E-3,-1.367416148E-2,2.333097517E-2
5.372580958E0,1.074959435E-2,1.480267410E-2,2.738251090E-2
5.422427958E0,-2.126350936E-2,6.404400486E-3,-1.026905555E-1
5.472274958E0,4.029159162E-2,-6.445285315E-3,-2.096168339E-2
5.522122958E0,-3.444644077E-2,-4.526797414E-2,6.269969344E-2
5.571969958E0,2.482928764E-3,5.703785280E-3,-1.251397705E-1
5.621816958E0,2.182833211E-2,3.957675124E-2,5.881129503E-2
5.671663958E0,-1.840968439E-2,-3.748560419E-2,-1.344327503E-1
5.721510958E0,-3.030142268E-2,3.141491527E-2,-1.229552507E-2
5.771358958E0,6.014369275E-2,-9.301789032E-2,-4.507267714E-2
5.821205958E0,7.284024546E-2,2.287049598E-1,-2.581995946E-1
5.871052958E0,-3.775536183E-2,-9.334690584E-2,1.028706497E-1
5.920899958E0,-3.182157084E-2,2.028133244E-2,-7.061039150E-2
5.970746958E0,-5.879558064E-2,-1.025987359E-1,-8.439578712E-2
6.020594958E0,7.431301290E-2,5.377915383E-2,7.724873543E-2
6.070441958E0,8.591376085E-2,1.500812242E-1,5.448377073E-2
6.120288958E0,-3.318452027E-2,-2.188495144E-1,4.699699581E-2
6.170135833E0,-2.442694439E-2,2.855804975E-1,-1.877453238E-1
6.219982833E0,8.939102691E-2,-6.891465328E-2,-3.363938248E-1
6.269830833E0,-5.840061950E-2,-3.662607263E-2,1.438280565E-1
6.319677833E0,-9.225607121E-2,-1.378778019E-2,-1.518200308E-1
6.369524833E0,-1.815693850E-2,-3.012278111E-2,-9.156739712E-3
6.419371833E0,-1.968942063E-2,-8.262041713E-2,-2.964830697E-2
6.469218833E0,5.861144817E-2,4.084610866E-2,7.901400983E-2
6.519066833E0,2.312358174E-2,3.347359199E-2,-8.309595108E-2
6.568913833E0,-6.592689967E-2,6.882647909E-2,1.603189588E-2
6.618760833E0,9.397557288E-2,-5.082354164E-2,-4.590824425E-2
6.668607833E0,2.156789348E-2,-2.068522886E-2,-5.613327026E-2
6.718454833E0,-8.086041436E-2,-2.531253261E-2,1.116736329E-1
6.768302833E0,7.624822201E-2,1.319056020E-2,-1.799094701E-1
6.818149833E0,9.111255683E-2,5.029011112E-2,6.429311818E-1
6.867996833E0,-3.966620267E-1,-8.509954521E-2,-1.540735477E-1
6.917843833E0,3.103539077E-1,-9.829930563E-2,-3.064759612E-1
6.967691833E0,-1.982289246E-1,-5.073281843E-3,2.110733753E-1
7.017538833E0,-3.273318831E-2,-2.652916459E-2,1.348356235E-1
7.067385833E0,7.309063420E-2,4.576813766E-1,-1.952701056E-1
7.117232833E0,9.387523832E-2,-1.944950937E-1,-3.223043740E-2
7.167080708E0,-1.840941579E-1,1.213150702E-1,-6.888487816E-2
7.216928708E0,7.860229276E-2,-6.247197180E-2,2.330396104E-1
7.266775708E0,7.204573676E-3,1.695064877E-2,-1.973195547E-1
7.316622708E0,-5.702981288E-2,-3.176269669E-2,-1.297807056E-1
7.366469708E0,1.364522690E-2,-2.577615285E-2,1.139125317E-1
7.416316708E0,9.827598073E-3,4.220226984E-2,-3.306132674E-2
7.466164708E0,-9.733847106E-2,-6.111063950E-2,-1.687623382E-2
7.516011708E0,1.222327542E-2,2.201325945E-1,2.826865643E-1
7.565858708E0,1.069719964E-1,-2.062239688E-1,-2.649320787E-1
7.615705708E0,-1.511676460E-1,2.485289760E-1,1.071192366E-1
7.665552708E0,-7.718262535E-2,-1.524774040E-1,-3.785487413E-3
7.715400708E0,1.325002821E-1,2.035226100E-1,-1.034425074E-1
7.765247708E0,-2.422925733E-1,1.513130407E-1,-1.452074146E-1
7.815094708E0,1.223596753E-1,3.189815110E-2,3.261576891E-3
7.864941708E0,2.799771108E-2,-3.863445416E-2,-1.685986161E-1
7.914788708E0,-7.098033752E-2,-9.008083390E-2,-6.603319108E-2
7.964636708E0,-3.114974404E-2,-4.693276780E-2,7.856962144E-2
8.014483708E0,6.949671619E-2,6.640204989E-2,-7.471864522E-2
8.064330708E0,-4.032292904E-2,-6.733500056E-2,-1.110848182E-1
8.114177708E0,3.643666852E-2,5.616271648E-2,1.872044563E-2
8.164024750E0,-4.034496574E-2,-4.031138993E-2,-1.258613169E-2
8.213872750E0,-1.283723306E-2,1.133581335E-1,4.518728256E-2
8.263719750E0,9.554576956E-2,-9.471931131E-2,-1.622760218E-1
8.313566750E0,2.828301866E-2,-6.223672187E-2,9.081076741E-2
8.363413750E0,-8.764133899E-2,1.192211366E-1,-1.829184473E-2
8.413260750E0,-3.682887051E-2,-8.625785122E-2,-4.745366335E-2
8.463108750E0,9.350496339E-2,3.056988297E-3,4.146260619E-2
8.512955750E0,-3.628255785E-2,-1.696946036E-2,-8.517814457E-2
8.562802750E0,-5.994117809E-2,-1.015481374E-2,-1.142072314E-1
8.612649750E0,1.020571558E-1,1.387039678E-1,5.686592638E-2
8.662496750E0,3.586033406E-2,-9.899258441E-2,-1.961740851E-3
8.712344750E0,-1.141511164E-1,2.482661985E-2,-1.351759315E-1
8.762191750E0,2.629052510E-2,-9.734965386E-2,-8.365728378E-2
8.812038750E0,1.194439977E-3,1.273234863E-1,6.598582864E-3
8.861885750E0,-1.414525520E-2,-7.328080575E-2,-9.038099706E-2
8.911732750E0,5.018107882E-2,5.014648888E-2,2.289126456E-2
8.961580750E0,-6.346335808E-2,-3.206603928E-2,9.683749259E-2
9.011427750E0,-3.486407815E-2,-2.888990482E-3,-1.823097521E-1
9.061274750E0,7.185486171E-2,-2.266875973E-2,-5.148882687E-2
9.111121750E0,1.691327227E-2,7.599646283E-2,-7.182134986E-3
9.160972875E0,-8.041697614E-2,-1.087314327E-1,3.220529437E-2
9.210819875E0,-2.832380299E-2,1.689860855E-2,-1.019081980E-1
9.260666875E0,5.137930121E-2,1.096729349E-2,-4.277764499E-2
9.310513875E0,1.390531836E-2,-5.420853132E-3,-4.754371047E-3
9.360360875E0,-9.390774518E-3,3.302062464E-2,-8.754100442E-2
9.410208875E0,-7.211701797E-2,2.996239381E-2,3.128786623E-2
9.460055875E0,-2.745914597E-2,-8.536878208E-2,-5.040475309E-2
9.509902875E0,7.545594256E-3,-6.131332775E-2,-5.506206036E-2
9.559749875E0,5.494608449E-2,1.371208250E-1,8.443671763E-2
9.609596875E0,-9.447059451E-2,-8.837396770E-2,-2.369356102E-1
9.659444875E0,8.432545608E-2,2.905656874E-2,5.628880620E-2
9.709291875E0,-5.129802492E-2,1.994001037E-3,5.895572126E-2
9.759138875E0,-6.022546241E-2,-3.003388516E-2,-1.183950073E-1
9.808985875E0,6.063425587E-2,-1.354587905E-2,-1.552207714E-1
9.858832875E0,1.648266139E-2,2.275930935E-2,2.121007311E-1
9.908680875E0,5.215223003E-2,-7.195856757E-2,-2.628604102E-1
9.958527875E0,-1.662792084E-1,7.113826716E-2,2.040146166E-1
1.000837488E1,7.085052934E-2,-7.056501162E-2,-1.451430953E-1
1.005822188E1,4.150644204E-2,5.667630301E-2,-5.265008390E-2
1.010806988E1,-6.566788629E-2,2.641875820E-1,1.864443183E-2
1.015791313E1,-7.998795496E-2,-2.340118196E-1,7.170949262E-1
1.020776013E1,6.492117858E-2,1.682827203E-1,-1.221980363E-1
1.025760713E1,2.907147914E-2,-1.030313842E-1,-6.575714403E-1
1.030745413E1,6.804993231E-2,-7.878370263E-2,1.506926876E-1
1.035730213E1,-6.723844841E-2,3.456457280E-2,5.203893292E-1
1.040714913E1,-1.081740377E-2,7.854610467E-3,-3.024027908E-1
1.045699613E1,2.450847650E-2,-8.002533146E-2,-1.752837378E-1
1.050684313E1,-2.920355313E-2,3.025237916E-2,6.016200185E-2
1.055669013E1,-8.921327155E-2,-3.651259096E-2,-9.264270008E-2
1.060653813E1,-6.892770901E-2,1.537478761E-1,2.981922108E-1
1.065638513E1,3.372779969E-2,-1.053411531E-1,1.016503358E-1
1.070623213E1,-4.295424918E-2,5.209412333E-3,-8.715450346E-2
1.075607913E1,-1.603707797E-1,-1.030206308E-1,-1.971260118E-1
1.080592713E1,2.487366253E-1,9.237675226E-2,-3.997624397E-2
1.085577413E1,-7.745212717E-2,-5.686777191E-2,2.219603062E-3
1.090562113E1,-1.189641606E-1,7.997819742E-2,1.787236547E-1
1.095546813E1,5.403490556E-2,-3.053057872E-2,-1.923359728E-1
1.100531513E1,-7.072700690E-3,-2.357913466E-2,-1.345479405E-1
1.105516313E1,-2.061150827E-2,1.055644437E-2,8.398940563E-3
1.110501013E1,-9.730468512E-2,4.637160868E-2,-1.046043491E-1
1.115485725E1,3.009059401E-2,1.169292382E-2,2.399404943E-2
1.120470425E1,3.910040416E-2,-3.605246077E-2,-9.350925744E-2
1.125455225E1,-1.032216836E-1,4.925401191E-2,-4.202335417E-2
1.130439925E1,1.898526968E-2,-5.015935276E-2,-1.671718955E-2
1.135424625E1,-8.025595844E-3,3.602733602E-2,-2.000390947E-2
1.140409325E1,-1.877561046E-2,-7.983943569E-2,-4.619592726E-2
1.145394125E1,5.253302995E-2,3.417651867E-3,-1.685869217E-2
1.150378825E1,-8.409312062E-2,-2.383717960E-3,-2.508981764E-2
1.155363525E1,3.323471496E-2,7.274904717E-3,-4.365180373E-2
1.160348225E1,1.225828562E-2,1.377382910E-2,-4.050541699E-2
1.165332925E1,-3.886297066E-2,-3.742955315E-2,1.398653984E-3
1.170317725E1,-2.077952435E-2,3.639317986E-2,-7.403919876E-2
1.175302425E1,1.765044171E-2,3.597230824E-2,-5.008841872E-2
1.180287125E1,-8.872181308E-3,-7.576222703E-2,2.819235027E-2
1.185271825E1,-3.593497742E-3,3.513520623E-2,-6.806568325E-2
1.190256625E1,-5.905357076E-2,6.018904522E-3,-3.049849212E-2
1.195241325E1,2.894746335E-2,-2.946654079E-2,-2.136514127E-2
1.200226025E1,9.236609023E-3,-1.847468899E-2,-8.380697250E-2
1.205210725E1,-9.000867561E-2,6.442298667E-2,5.943168461E-2
1.210195425E1,-2.845437862E-3,-6.263760332E-2,-9.129316270E-2
1.215180225E1,1.874284778E-2,3.088301050E-2,-3.546043932E-2
1.220164908E1,2.646712929E-2,-2.438311768E-2,-3.158899784E-2
1.225149608E1,-3.707825426E-2,2.166938835E-2,-3.168606162E-3
1.230134308E1,-2.848882237E-2,-4.331000657E-2,-1.156286895E-2
1.235119108E1,-3.827638529E-2,3.994376452E-2,-5.796578765E-2
1.240103808E1,5.030732386E-2,-6.291027543E-2,-6.633549213E-2
1.245088508E1,-3.046492545E-2,4.332083762E-2,-3.551306427E-2
1.250073208E1,3.984811686E-2,2.416234874E-2,-2.455362797E-2
1.255058008E1,-4.712662127E-2,-1.467971812E-2,-7.995014906E-2
1.260042708E1,-8.301383425E-3,-1.208335337E-2,3.262921751E-2
1.265027408E1,-1.343690157E-2,-4.726423183E-2,1.976008058E-2
1.270012108E1,2.865263578E-3,6.443324670E-2,-9.400744021E-2
1.274996908E1,-5.275741685E-3,2.550765602E-3,-7.927070260E-3
